Date,CPIAUCSL
3/1/2016,238.08
4/1/2016,238.992
5/1/2016,239.557
6/1/2016,240.222
7/1/2016,240.101
8/1/2016,240.545
9/1/2016,241.176
10/1/2016,241.741
11/1/2016,242.026
12/1/2016,242.637
1/1/2017,243.618
2/1/2017,244.006
3/1/2017,243.892
4/1/2017,244.193
5/1/2017,244.004
6/1/2017,244.163
7/1/2017,244.243
8/1/2017,245.183
9/1/2017,246.435
10/1/2017,246.626
11/1/2017,247.284
12/1/2017,247.805
1/1/2018,248.859
2/1/2018,249.529
3/1/2018,249.577
4/1/2018,250.227
5/1/2018,250.792
6/1/2018,251.018
7/1/2018,251.214
8/1/2018,251.663
9/1/2018,252.182
10/1/2018,252.772
11/1/2018,252.594
12/1/2018,252.767
1/1/2019,252.561
2/1/2019,253.319
3/1/2019,254.277
4/1/2019,255.233
5/1/2019,255.296
6/1/2019,255.213
7/1/2019,255.802
8/1/2019,256.036
9/1/2019,256.43
10/1/2019,257.155
11/1/2019,257.879
12/1/2019,258.63
1/1/2020,259.127
2/1/2020,259.25
3/1/2020,258.076
4/1/2020,256.032
5/1/2020,255.802
6/1/2020,257.042
7/1/2020,258.352
8/1/2020,259.316
9/1/2020,259.997
10/1/2020,260.319
11/1/2020,260.911
12/1/2020,262.045
1/1/2021,262.687
2/1/2021,263.579
3/1/2021,264.961
4/1/2021,266.614
5/1/2021,268.383
6/1/2021,270.654
7/1/2021,271.903
8/1/2021,272.676
9/1/2021,273.91
10/1/2021,276.55
11/1/2021,278.919
12/1/2021,280.845
1/1/2022,282.543
2/1/2022,284.5
3/1/2022,287.674
4/1/2022,288.561
5/1/2022,291.298
6/1/2022,294.957
7/1/2022,294.913
8/1/2022,295.097
9/1/2022,296.349
10/1/2022,298.007
11/1/2022,298.786
12/1/2022,298.832
1/1/2023,300.42
2/1/2023,301.45
3/1/2023,301.821
4/1/2023,302.845
5/1/2023,303.334
6/1/2023,304.014
7/1/2023,304.609
8/1/2023,306.082
9/1/2023,307.276
10/1/2023,307.696
11/1/2023,308.148
12/1/2023,308.741
1/1/2024,309.698
2/1/2024,310.967
3/1/2024,312.345
4/1/2024,313.023
5/1/2024,313.175
6/1/2024,313.044
7/1/2024,313.569
8/1/2024,314.062
9/1/2024,314.732
10/1/2024,315.631
11/1/2024,316.528
12/1/2024,317.604
1/1/2025,318.961
2/1/2025,319.679
3/1/2025,319.785
4/1/2025,320.302
5/1/2025,320.62
6/1/2025,321.435
7/1/2025,322.169
8/1/2025,323.291
9/1/2025,324.245
10/1/2025,
11/1/2025,325.063
12/1/2025,326.031
1/1/2026,326.588
2/1/2026,327.46
3/1/2026,330.293
